id,new_keyword,old_keyword
2608,chemosensation,chemosensation
2609,chemosensitive area,chemosensitive area
2610,chemosensitivity,chemosensitivity
2611,chemosensory activity,chemosensory activity
2612,chemostimulation,chemostimulation
2613,chemotherapy,chemotherapy
2614,chemotherapy-induced peripheral neuropathy,chemotherapy-induced peripheral neuropathy
2615,chest belt monitor,chest belt monitor
2616,chest circumference,chest circumference
2617,chest clinic,chest clinic
2618,chest compression,chest compression
2619,chest impedance measurement,chest impedance measurement
2620,chest pain,chest pain
2621,chest radiography,chest radiography
2622,chest respirator,chest respirator
2623,chest wall disease,chest wall disease
2623,chest wall disease,chest wall disorders
2624,chest wall oscillation,chest wall oscillation
2626,cheyne-stokes,cheyne- stokes
2626,cheyne-stokes,cheyne-stokes
2627,cheyne-stokes breathing pattern,cheyne-stokes breathing pattern
3675,cheyne-stokes respiration,csr
2625,cheyne-stokes-respiration,cheyne-stokes breathing syndrome
2625,cheyne-stokes-respiration,cheynestokes respiration
2625,cheyne-stokes-respiration,cheyne-stokes respiration
2625,cheyne-stokes-respiration,cheyne-stokes breathing
2625,cheyne-stokes-respiration,cheyne-stokes-respiration
2625,cheyne-stokes-respiration,cheyne-stroke respiration
2625,cheyne-stokes-respiration,cheyne stokes breathing
2625,cheyne-stokes-respiration,cheyne stokes respirations
2625,cheyne-stokes-respiration,cheynes-stockes ventilation
2625,cheyne-stokes-respiration,cheynes-stokes respiration
2625,cheyne-stokes-respiration,cheyne - stokes-respiration
2628,cheyne-stokes-respiration with central sleep apnea,cheyne-stokes respiration with central sleep apnea
2631,chiari,chiari
2632,chiari 1 malformation,chiari 1 malformation
2632,chiari 1 malformation,chiari i malformation
2632,chiari 1 malformation,chiari type i malformation
2632,chiari 1 malformation,chiari malformation type 1
2634,chiari 2 malformation,chiari malformation type ii
2633,chiari malformation,chiari malformation
2983,chiari malformation type 2,cm-ii
2635,child,child
2636,child abuse,child abuse
2637,child age,child age
2638,child behaviour check list,child behaviour check list
2639,child development,child development
2640,child neuropsychiatrist,child neuropsychiatrists
2641,child with apnea,child with apnea
2642,childhood,childhood
2643,childhood adenotonsillectomy study,childhood adenotonsillectomy study
2644,childhood asthma,childhood asthma
2645,childhood attention deficit hyperactivity disorder,childhood attention deficit hyperactivity disorder
2646,childhood infection,childhood infections
2647,childhood obesity,childhood obesity
2648,childhood obesity prevention,childhood obesity prevention
2649,childhood obstructive sleep apnea,childhood obstructive sleep apnea
2650,childhood parasomnia,childhood parasomnias
2652,childhood sleep,childhood sleep
2651,childhood sleep apnea hypopnea syndrome,childhood sahs
2653,childhood sleep apnoea syndrome,childhood sleep apnoea syndrome
2654,childhood sleep disturbance,childhood sleep disturbances
2655,child-pugh classification,child-pugh classification
2656,children,children
2657,children and adolescents,children and adolescents
2657,children and adolescents,children/adolescents
2658,children and adolescents sleeve gastrectomy,children and adolescents sleeve gastrectomy
2659,children and cognitive dysfunction,children and cognitive dysfunction
2379,children depression inventory,cdi
2660,children obstructive sleep apnea syndrome,children obstructive sleep apnea syndrome
2661,children sleep apnea,children sleep apnea
2662,children sleep disturbance,children sleep disturbance
2663,children support pressure,children support pressure
2664,chime,chime
2665,chimpanzee,chimpanzees
2666,chin,chin
2667,chin strap,chin strap
2668,chin surface electromyography,chin surface electromyography
2669,china,china
2670,chinese,chinese
2671,chinese adolescents,chinese adolescents
2672,chinese adults,chinese adults
2673,chinese athens insomnia scale,chinese athens insomnia scale
2674,chinese han population,chinese han population
2675,chinese herbal drug,chinese herbal medicine
2676,chinese patient,chinese patients
2677,chinese version sos,chinese version sos
2678,chinese women,chinese women
2679,chinstrap,chinstrap
2680,chiral chromatography,chiral chromatography
2681,chiral sulfoxide,chiral sulfoxide
2682,chirp,chirp
2683,chitin binding glycoprotein,chitin binding glycoprotein
2684,chitotriosidase,chitotriosidase
2685,chlormethiazole,chlormethiazole
2686,chlorthalidone,chlorthalidone
2687,choanal adenoid,choanal adenoids
2688,choanal atresia,choanal atresia
2689,choanal polyp,choanal polyp
2690,chocolate,chocolate
2691,choke point,choke point
2692,choking,choking
2693,cholecystectomy,cholecystectomy
2694,cholesterol,cholesterol
2695,cholesterol and stroke,cholesterol and stroke
2696,cholesterol efflux,cholesterol efflux
2697,choline,choline
2698,choline acetyl transferase,choline acetyl transferase
2698,choline acetyl transferase,choline-acetyltransferase
2699,choline acetyltransferase,choline acetyltransferase
2700,cholinergic,cholinergic
2701,cholinergic agonist,cholinergic agonists
2702,cholinergic model of rem sleep,cholinergic model of rem sleep
2703,cholinergic receptor,cholinergic receptor
2704,cholinergic system,cholinergic system
2705,cholinesterase,cholinesterase
2706,cholinesterase inhibitor,cholinesterase inhibitors
2707,chondroma,chondroma
2708,chordoma,chordoma
2709,choristoma,choristoma
2710,choroid disease,choroid diseases
2711,choroid/pathology,choroid/pathology
2712,choroidal blood flow,choroidal blood flow
2713,choroidal thickness,choroidal thickness
2714,christaki p,christaki p
2715,chromosome 11,chromosome 11
2716,chromosome 14 deletion,chromosome 14 deletions
2717,chromosome 14q22,chromosome 14q22
2718,chromosome 15,chromosome 15
2719,chromosome 1q deletion,chromosome 1q deletion
2720,chromosome 2q33,chromosome 2q33
2721,chromosome substitution,chromosome substitution
2722,chronic,chronic
2723,chronic airflow limitation,chronic airflow limitation
2724,chronic alveolar hypoventilation,chronic alveolar hypoventilation
2725,chronic and recurrent respiratory inflammations,chronic and recurrent respiratory inflammations
2726,chronic autoimmune hepatitis,chronic autoimmune hepatitis
2727,chronic brain injury,chronic brain injury
2728,chronic brain ischemia,chronic brain ischemia
2729,chronic bronchitis,chronic bronchitis
2730,chronic care,chronic care
2731,chronic complication,chronic complications
2732,chronic conjunctivitis,chronic conjunctivitis
2733,chronic cor pulmonale,chronic cor pulmonale
2734,chronic cough,chronic cough
2735,chronic daily use,chronic daily use
2736,chronic deep neck space abscess,chronic deep neck space abscess
2737,chronic disease,chronic disease
2737,chronic disease,chronic diseases
2738,chronic fatigue,chronic fatigue
2559,chronic fatigue syndrome,chronic fatigue syndrome
2559,chronic fatigue syndrome,cfs
2739,chronic headache,chronic headache
2739,chronic headache,chronic headaches
2629,chronic heart failure,chronic heart failure
2629,chronic heart failure,chf
2740,chronic hemodialysis,chronic hemodialysis
2741,chronic hypercapnia,chronic hypercapnia
2742,chronic hypercapnic respiratory failure,chronic hypercapnic respiratory failure
2743,chronic hypoxaemia,chronic hypoxaemia
2744,chronic hypoxemia,chronic hypoxemia
2745,chronic hypoxia,chronic hypoxia
2746,chronic illness,chronic illness
2746,chronic illness,chronic illnesses
2747,chronic inflammation,chronic inflammation
2748,chronic inflammatory demyelinating polyradiculoneuropathy,chronic inflammatory demyelinating polyradiculoneuropathy
2749,chronic insomnia,chronic insomnia
2750,chronic intermittent hypoxia,chronic intermittent hypoxia
2750,chronic intermittent hypoxia,chronic intermittenthypoxia
2750,chronic intermittent hypoxia,cih
2751,chronic kidney disease,ckd
2751,chronic kidney disease,chronic kidney disease
2864,chronic kidney disease 3,ckd 3
2752,chronic kidney failure,chronic kidney failure
2753,chronic liver disease,chronic liver disease
2754,chronic long-term intermittent hypoxia,chronic long-term intermittent hypoxia
2755,chronic low back pain,chronic low back pain
2756,chronic lung disease,chronic lung disease
2757,chronic lung disease of newborn,chronic lung disease of newborn
2758,chronic migraine,chronic migraine
2759,chronic myeloid leukemia,chronic myeloid leukemia
2760,chronic nerve recording,chronic nerve recording
2761,chronic nocturnal cough,chronic nocturnal cough
2762,chronic non-healing wound,chronic non-healing wound
2763,chronic obstructive,chronic obstruction
2763,chronic obstructive,chronic obstructive
2764,chronic obstructive airway disease,chronic obstructive airway disease
2765,chronic obstructive pulmonary,chronic obstructive pulmonary
2766,chronic obstructive pulmonary disease,chronic obstructive pulmonary disease
2766,chronic obstructive pulmonary disease,chronic obstructive pulmonary diseases
2766,chronic obstructive pulmonary disease,copd
3417,chronic obstructive pulmonary disease patient,copd patients
3418,chronic obstructive pulmonary disease with stress,cope with stress
2767,chronic obstructive sleep apnea,chronic obstructive sleep apnoea
2768,chronic obstuctive pulmonary disease,chronic obstuctive pulmonary disease
2770,chronic opioid,chronic opioids
2769,chronic opioid use,chronic opioid use
2771,chronic otitis media,chronic otitis media
2772,chronic otitis media with effusion,chronic otitis media with effusion
2773,chronic oxidative stress,chronic oxidative stress
2774,chronic pain,chronic pain
2775,chronic paroxysmal hemicrania,chronic paroxysmal hemicrania
2776,chronic pelvic pain,chronic pelvic pain
2777,chronic periodontitis,chronic periodontitis
2778,chronic progressive external ophthalmoplegia,chronic progressive external ophthalmoplegia
2779,chronic pulmonary disease,chronic pulmonary diseases
2780,chronic pulmonary insufficiency due to airway obstruction,chronic pulmonary insufficiency due to airway obstruction
2781,chronic renal failure,chronic renal failure
2781,chronic renal failure,crf
2782,chronic respiratory disease,chronic respiratory disease
2783,chronic respiratory disorder,chronic respiratory disorders
2784,chronic respiratory failure,chronic respiratory failure
2785,chronic respiratory insufficiency,chronic respiratory insufficiency
2786,chronic retronasal obstruction,chronic retronasal obstruction
2787,chronic rhinitis,chronic rhinitis
2788,chronic rhinosinusitis,chronic rhinosinusitis
2788,chronic rhinosinusitis,crs
2789,chronic rhonchopathy,chronic rhonchopathy
2790,chronic roncopathy,chronic roncopathy
2791,chronic sleep restriction,chronic sleep restriction
2792,chronic snoring,chronic snoring
2793,chronic stress,chronic stress
2794,chronic systolic heart failure,chronic systolic heart failure
2795,chronic tension-type headache,chronic tension-type headache
2796,chronic thromboembolic pulmonary arterial hypertension,chronic thromboembolic pulmonary arterial hypertension
2797,chronic thromboembolic pulmonary hypertension,chronic thromboembolic pulmonary hypertension
2798,chronic tonsillitis,chronic tonsillitis
2799,chronic total occlusion,chronic total occlusion
2800,chronic venous insufficiency,chronic venous insufficiency
2801,chronic venous ulcer,chronic venous ulcers
2802,chronic widespread pain,chronic widespread pain
2803,chronic-intermittent hypoxia,chronic-intermittent hypoxia
2804,chronobiology,chronobiology
2805,chronobiology disorder,chronobiology disorders
2806,chronopharmacology,chronopharmacology
2807,chronotherapy,chronotherapy
2808,chronotropic incompetence,chronotropic incompetence
2809,chronotype,chronotype
2810,chylous effusion,chylous effusions
2811,chymase,chymase
2813,cicatricial pemphigoid,cicatricial pemphigoid
2814,cigarette,cigarette
2815,cigarette smoke,cigarette smoke
2815,cigarette smoke,cigarette smoker
2815,cigarette smoke,cigarette smoking
2816,cilazapril,cilazapril
2817,ciliary artery,ciliary arteries
2818,ciliary beat frequency,ciliary beat frequency
2819,ciliary dysfunction,ciliary dysfunction
2820,cimicifugae racemosae rhizome,cimicifugae racemosae rhizome
2821,cinacalcet,cinacalcet
2823,cine magnetic resonance,cine magnetic resonance
2824,cine magnetic resonance imaging,cine magnetic resonance imaging
2825,cine mri,cine mri
2826,cine study,cine study
2827,cingulate cortex,cingulate cortex
2828,cingulum,cingulum
2829,circadian,circadian
2830,circadian blood pressure,circadian blood pressure
2831,circadian blood pressure profile,circadian blood pressure profile
2832,circadian blood pressure rhythm,circadian blood pressure rhythm
2833,circadian blood pressure variability,circadian blood pressure variability
2834,circadian disorder,circadian disorder
2834,circadian disorder,circadian disorders
2835,circadian disruption,circadian disruption
2836,circadian effect,circadian effect
2837,circadian misalignment,circadian misalignment
2838,circadian pattern,circadian pattern
2839,circadian profile,circadian profile
2840,circadian rhythm,circadian rhythm
2841,circadian rhythm disorder,circadian rhythm disorder
2841,circadian rhythm disorder,circadian rhythm disorders
2842,circadian rhythm disturbance,circadian rhythm disturbance
2843,circadian rhythm of blood pressure,circadian rhythm of blood pressure
2844,circadian rhythm sleep,circadian rhythm sleep
2845,circadian rhythm sleep disorder,circadian rhythm sleep disorders
2846,circadian rhythms,circadian rhythms
2847,circadian sleep disorder,circadian sleep disorder
2847,circadian sleep disorder,circadian sleep disorders
2848,circadian variability,circadian variability
2849,circadian variation,circadian variation
2850,circothyroidotomy,circothyroidotomy
2851,circular breathing,circular breathing
2852,circulating dna,circulating dna
2853,circulating dna/rna,circulating dna/rna
2854,circulating endothelial cell,circulating endothelial cells
2855,circulating progenitor cell,circulating progenitor cells
2856,circulating stem cell,circulating stem cells
2857,circulation,circulation
2858,circulation time,circulation time
2859,cirrhosis,cirrhosis
2860,cisapride,cisapride
2861,citric acid,citric acid
2862,civil liability,civil liability
2866,claim analysis,claims analysis
2867,class 2 malocclusion,class ii malocclusion
2868,class 2 occlusion,class ii occlusion
2869,class 3 jaw deformities,class iii jaw deformities
2870,class 3 malocclusion,class iii malocclusion
2871,classical measurement theory,classical measurement theory
2872,classification,classification
2873,classification and regression tree,classification and regression tree
2874,classification of obesity,classification of obesity
2875,classifier combination,classifier combination
2876,classifier selection,classifier selection
2877,claustrophobia,claustrophobia
2977,claustrophobia questionnaire,clq
2878,clearance,clearance
2879,cleft,cleft
2880,cleft lip and palate,cleft lip and palate
2881,cleft lip and sleep apnea,cleft lip and sleep apnea
2882,cleft lip/palate,cleft lip and/or palate
2882,cleft lip/palate,cleft lip/palate
2882,cleft lip/palate,cleft palate
2882,cleft lip/palate,cleft plate
2883,clenching,clenching
2884,c-like syndrome,c-like syndrome
2885,climacteric,climacteric
2886,climacteric symptom,climacteric symptoms
2887,clinic,clinic
2888,clinic blood pressure,clinic blood pressure
2889,clinic management,clinic management
2890,clinic population,clinic population
2891,clinic visits,clinic visits
2892,clinical alarm,clinical alarm
2893,clinical assay,clinical assay
2894,clinical assessment score,clinical assessment score
2895,clinical back ground,clinical back ground
2896,clinical characteristics,clinical characteristics
2897,clinical comparison,clinical comparison
2898,clinical curriculum,clinical curriculum
2899,clinical decision rule,clinical decision rule
2900,clinical decision support,clinical decision support
2901,clinical dental hygiene education,clinical dental hygiene education
2902,clinical diagnosis,clinical diagnosis
2903,clinical education,clinical education
2904,clinical effect,clinical effect
2905,clinical epidemiology,clinical epidemiology
2906,clinical equipoise,clinical equipoise
2907,clinical evaluation,clinical evaluation
2908,clinical evolution,clinical evolution
2909,clinical examination,clinical examination
2910,clinical experience,clinical experience
2911,clinical feature,clinical factor
2911,clinical feature,clinical feature
2911,clinical feature,clinical features
2912,clinical feature treatment,clinical features treatment
2913,clinical global impression,clinical global impression
2914,clinical history,clinical history
2915,clinical home care,clinical home care
2916,clinical impact,clinical impact
2917,clinical improvement,clinical improvement
2918,clinical medicine,clinical medicine
2919,clinical methodology,clinical methodology
2920,clinical model,clinical model
2921,clinical modification,clinical modification
2922,clinical nephrology,clinical nephrology
2923,clinical neurophysiology,clinical neurophysiology
2924,clinical opinion,clinical opinion
2925,clinical or epidemiologic studies risk factor assessment,clinical or epidemiologic studies risk factor assessment
2926,clinical outcome,clinical outcome
2926,clinical outcome,clinical outcomes
2927,clinical papers/trials/research,clinical papers/trials/research
2928,clinical parameter,clinical parameters
2929,clinical pathway,clinical pathway
2929,clinical pathway,clinical-care pathways
2930,clinical picture,clinical picture
2931,clinical practice,clinical practice
2932,clinical practice guideline,clinical practice guideline
2932,clinical practice guideline,clinical practice guidelines
2933,clinical prediction,clinical prediction
2934,clinical prediction model,clinical prediction models
2935,clinical prediction rule,clinical prediction rule
2935,clinical prediction rule,clinical prediction rules
2936,clinical predictor,clinical predictor
2936,clinical predictor,clinical predictors
2937,clinical presentation,clinical presentation
2938,clinical presentation and difference,clinical presentation and differences
2939,clinical protocol,clinical protocols
2940,clinical questionnaire,clinical questionnaires
2941,clinical risk stratification for sleep apnea,clinical risk stratification for sleep apnea
2942,clinical score,clinical score
2943,clinical screening,clinical screening
2944,clinical setting,clinical settings
2945,clinical sign,clinical signs
2946,clinical sleep medicine,clinical sleep medicine
2947,clinical spectrum,clinical spectrum
2948,clinical study,clinical study
2949,clinical suspicion for obstructive sleep apnea syndrome,clinical suspicion for obstructive sleep apnea syndrome
2950,clinical trial,clinical trial
2950,clinical trial,clinical trials
2951,clinical user interface,clinical user interfaces
2952,clinical variable,clinical variables
2953,clinically isolated syndrome,clinically isolated syndrome
2954,clinically latent chronic kidney disease,clinically latent chronic kidney disease
2955,clinically severe obesity,clinically severe obesity
2956,clinically significant macular edema,clinically significant macular edema
2956,clinically significant macular edema,clinically significant macular oedema
2957,clival,clival
2958,clobazam,clobazam
2959,clock,clock
2960,clock gene,clock gene
2960,clock gene,clock genes
2961,clock system,clock system
2962,clofazimine,clofazimine
2963,clomipramine,clomipramine
2964,clonazepam,clonazepam
2965,clonidine,clonidine
2966,clopidogrel resistance,clopidogrel resistance
2967,close relative,close relative
2967,close relative,close relatives
2630,closed head injury,chi
2968,closed-loop control,closed-loop control
2969,closed-loop functional electrical stimulation,closed-loop functional electrical stimulation
2970,closed-loop gain,closed-loop gain
2971,closed-loop therapy,closed-loop therapy
2972,closing pressure,closing pressure
2972,closing pressure,closing pressures
2973,closure,closure
2974,closure of airway,closure of airways
2975,clotting profile,clotting profile
2976,clozapine,clozapine
2978,cluster,cluster
2979,cluster analysis,cluster analysis
2980,cluster headache,cluster headache
2373,cluster of differentiation 10,cd10
2374,cluster of differentiation 14,cd14
2375,cluster of differentiation 25,cd25
2376,cluster of differentiation 38,cd38
2377,cluster of differentiation 4-positive t lymphocyte,cd4-positive t lymphocyte
2372,cluster of differentiation antigen,cd antigens
2981,clustering,clustering
2982,clusters of illness,clusters of illness
2984,cmos technology,cmos technology
2985,cms,cms
2988,co  cardiac output,co  cardiac output
2996,co2,co2
2997,co2 and oxygen response,co2 and oxygen response
2998,co2 chemosensitivity,co2 chemosensitivity
2999,co2 drive,co2 drive
2989,co2 laser,co2 laser
2989,co2 laser,co 2 laser
2990,co2 laser oropharyngeal surgery,co 2 laser oropharyngeal surgery
2990,co2 laser oropharyngeal surgery,co2 laser oropharyngeal surgery
2991,co2 laser partial mucosal palatal excision,co 2 laser partial mucosal palatal excision
3000,co2 laser therapy,co2 laser therapy
3001,co2 laser tonsillectomy,co2 laser tonsillectomy
2992,co2 laser uvnlopalatopharyngoplasty,co 2 laser uvnlopalatopharyngoplasty
2993,co2 laser uvulopalatopharyngoplasty,co 2 laser uvulopalatopharyngoplasty
2994,co2 partial pressure,co 2 partial pressure
2994,co2 partial pressure,co2 partial pressure
3002,co2 re-breathing,co2 re-breathing
2995,co2 reserve,co2 reserve
2995,co2 reserve,co 2 reserve
3003,co2 response,co2 response
3004,co2 response curve,co2 response curve
3005,co2 retention,co2 retention
3006,co2-laser vaporization,co2-laser vaporization
3007,co2-stimulation,co2-stimulation
3008,coagulation,coagulation
3009,coagulation disorder,coagulation defects
3009,coagulation disorder,coagulation disorders
3010,coagulation test,coagulation tests
3011,coagulopathy,coagulopathy
3012,coal miner,coal miners
3013,coarctation of aorta,coarctation of aorta
3014,coarse graining spectral analysis,coarse graining spectral analysis
3015,coat-hanger rib sign,coat-hanger rib sign
3016,cobalt,cobalt
3017,cobalt chloride,cobalt chloride
3018,coblation,coblation
3019,coblation assisted upper airway procedure,coblation assisted upper airway procedure
3020,coblation assisted uppp,coblation assisted uppp
3020,coblation assisted uppp,coblation-assisted uppp
3021,cocaine abuse,cocaine abuse
3022,cochrane review,cochrane review
3023,codeine,codeine
3024,coding,coding
3025,codon 129met/val polymorphism,codon 129met/val polymorphism
3026,coenzyme q10,coenzyme q10
3027,coenzyme qinf10/inf,coenzyme qinf10/inf
3028,coexisting sleep-disordered breathing,coexisting sleep-disordered breathing
3029,coffee,coffee
3030,cognition,cognition
3031,cognition disorder,cognition disorders
3032,cognition dysfunction,cognition dysfunction
3033,cognition polysomnogram,cognition polysomnogram
3034,cognitive,cognitive
3035,cognitive and emotional disturbance,cognitive and emotional disturbances
3036,cognitive assessment,cognitive assessment
2369,cognitive behavioral therapy,cbt
3037,cognitive behaviour,cognitive behaviour
3038,cognitive behavioural therapy,cognitive behavioural therapy
3039,cognitive bias,cognitive biases
3040,cognitive decline,cognitive decline
3041,cognitive deficit,cognitive deficit
3041,cognitive deficit,cognitive deficits
3042,cognitive deterioration,cognitive deterioration
3043,cognitive disorder,cognitive disorders
3044,cognitive dysfunction,cognitive dysfunction
3045,cognitive dysfunction test,cognitive dysfunction tests
3046,cognitive function,cognitive function
3046,cognitive function,cognitive functioning
3046,cognitive function,cognitive functions
3047,cognitive impairment,cognitive impairment
3047,cognitive impairment,cognitive impairments
3048,cognitive morbidity,cognitive morbidity
3049,cognitive outcome,cognitive outcomes
3050,cognitive performance,cognitive performance
3051,cognitive processes,cognitive processes
3052,cognitive profile,cognitive profiles
3053,cognitive reserve,cognitive reserve
3054,cognitive therapy,cognitive therapy
3055,cohen kappa,cohen kappa
3056,coherence analysis,coherence analysis
3057,coherence function,coherence function
3058,cohort,cohort
3059,cohort study,cohort studies
3059,cohort study,cohort study
3060,coinf2,coinf2/inf
3060,coinf2,coinf2/inf response
3061,coinfection,coinfection
3062,coital headache,coital headache
3063,col2a1,col2a1
3064,cold dissection tonsillectomy,cold dissection tonsillectomy
3065,cold knife,cold knife
3066,cold knife tonsillectomy,cold knife tonsillectomy
3067,cold thermal testing,cold thermal testing
3068,collaborative care,collaborative care
3069,collagen,collagen
3071,collagen type 1,collagen type i
3070,collagen type 4,collagen iv
3072,collagen vascular disease,collagen vascular disease
3072,collagen vascular disease,collagen vascular diseases
3073,collapse,collapse
3074,collapsibility,collapsibility
3075,collateral vessel,collateral vessels
3076,college health,college health
3077,college student,college student
3077,college student,college students
3078,collegiate athlete,collegiate athlete
3079,collision,collisions
3080,colombia,colombia
3081,colon cancer,colon cancer
3082,colonoscopy,colonoscopy
3083,colony forming unit,colony forming units
3084,colony-forming units assay,colony-forming units assay
3085,color density spectral array,color density spectral array
3086,color doppler ultrasonography,color doppler ultrasonography
3087,color perception,color perception
3088,color vision defect,color vision defects
3089,colorectal adenoma,colorectal adenoma
3090,colorectal cancer,colorectal cancer
3091,colorectal metastasis,colorectal metastasis
3092,color-word interference test,color-word interference test
3093,colour density spectral array,colour density spectral array
3094,combat,combat
3095,combat related sleep disorder,combat related sleep disorder
3096,combat veteran,combat veterans
3097,combination,combination
3098,combination drug therapy,combination drug therapy
3099,combination of experts,combination of experts
3100,combination therapy,combination therapy
3100,combination therapy,combined therapy
3101,combination treatment,combination treatment
3102,combined co2 and nd-yag laser,combined co2 and nd-yag laser
3103,combined eye movement,combined eye movement
3104,comet assay,comet assay
3105,comfort,comfort
3106,commercial airline,commercial airline
3107,commercial bus driver,commercial bus drivers
3109,commercial driving,commercial driving
3110,commercial driving risk,commercial driving risk
3108,commercial vehicle driver,commercial vehicle drivers
3108,commercial vehicle driver,commercial drivers
3111,commingling analysis,commingling analysis
3112,common,common
3113,common brainstem system,common brainstem system
3114,common cold,common cold
3115,common drive,common drive
3116,communication,communication
3117,community,community
3118,community pharmacy,community pharmacy
3119,community pharmacy service,community pharmacy services
3120,community physician,community physician
3121,community screening,community screening
3122,community setting,community setting
3123,community survey,community survey
3124,community-based,community-based
3125,community-based participatory research,community-based participatory research
3126,community-based study,community-based study
3127,commuter,commuters
3128,comorbid,comorbid
3129,comorbid condition,comorbid condition
3129,comorbid condition,comorbid conditions
3129,comorbid condition,co-morbid conditions
3130,comorbid condition in overweight airmen,co-morbid conditions in overweight airmen
3131,comorbid disorder,comorbid disorders
3132,comorbid insomnia,comorbid insomnia
3133,comorbid insomnia and osa,comorbid insomnia and osa
3135,comorbidities of childhood apnea hypopnea syndrome,comorbidities of childhood sahs
3136,comorbidities of sleep disordered breathing in children,comorbidities of sleep disordered breathing in children
3134,comorbidity,comorbidity
3134,comorbidity,co-morbidity
3134,comorbidity,comorbidities
3134,comorbidity,co-morbidities
3137,comorbidity remission,co-morbidity remission
3138,comorbidity resolution,co-morbidity resolution
3139,comparative,comparative
3140,comparative effectiveness,comparative effectiveness
3141,comparative effectiveness research,comparative effectiveness research
3142,comparative study,comparative studies
3142,comparative study,comparative study
3143,comparative study factor,comparative study factors
3144,comparison,comparison
3145,compartmental ventilation,compartmental ventilation
3146,compensation,compensation
3147,compensatory mechanism,compensatory mechanisms
3148,compensatory recruitment,compensatory recruitment
3149,competency,competency
3150,complaint,complaints
3151,complementary,complementary
3152,complementary and alternative medicine,complementary and alternative medicine
3153,complete avblock,complete avblock
3154,complete denture,complete denture
3155,complete/partial dentures prosthesis,complete/partial dentures prosthesis
3156,complex apnea,complex apnea
3157,complex demodulation method,complex demodulation method
3158,complex insomnia,complex insomnia
3159,complex intervention,complex intervention
3160,complex network,complex networks
3161,complex sleep apnea,complex sleep apnea
3191,complex sleep apnea hypopnea syndrome  ,compsahs
3162,complex sleep apnea syndrome,complex sleep apnea syndrome
3163,complex sleep apnoea,complex sleep apnoea
3164,complex synostosis,complex synostosis
3165,complexity,complexity
3166,compliance,compliance
3167,compliance adjusted apnea hypopnea index,compliance adjusted ahi
3168,compliance continuous positive airway pressure effectiveness efficacy sleep apnoea sleep apnoea alleviation,compliance continuous positive airway pressure effectiveness efficacy sleep apnoea sleep apnoea alleviation
3169,compliance rate,compliance rate
3170,compliance to therapy,compliance to therapy
3171,compliance to treatment,compliance to treatment
3172,compliance with treatment,compliance with treatment
3173,complianee,complianee
3174,complicated course,complicated course
3175,complication,complication
3175,complication,complications
3176,complication apnoea,complications apnoea
3177,complication obesity,complications obesity
3178,complication of partial tonsillectomy,complications of partial tonsillectomy
3179,complication of surgery,complications of surgery
3180,complication postoperative apnea,complications postoperative apnea
3181,complication postoperative respiratory compromise,complications postoperative respiratory compromise
3182,complication respiratory depression,complications respiratory depression
3183,complication sleep apnoea syndrome,complications sleep apnoea syndrome
3184,component,component
3185,component of the history,components of the history
3186,composite measure,composite measure
3187,compound action potential,compound action potential
3188,comprehensive sleep medicine,comprehensive sleep medicine
3189,compressed waveform,compressed waveform
3190,compression stocking,compression stockings
3192,compulsive hoarding,compulsive hoarding
3193,computational aeroacoustics simulation,computational aeroacoustics simulation
3194,computational complexity,computational complexity
2554,computational fluid dynamics,computational fluid dynamics
2554,computational fluid dynamics,computer fluid dynamics
2554,computational fluid dynamics,cfd
2555,computational fluid dynamics simulation,cfd simulation
3195,computational modeling,computational model
3195,computational modeling,computational modeling
3196,computed tomographic angiography,computed tomographic angiography
3196,computed tomographic angiography,computed tomography angiography
3197,computed tomographic pulmonary angiography,computed tomographic pulmonary angiography
3198,computed tomography,computed tomography
3198,computed tomography,ct
3676,computed tomography cephalometry,ct cephalometry
3199,computed tomography image,computed tomography image
3677,computed tomography perfusion,ct perfusion
3200,computed tomography pharyngeal measurement,computed tomography pharyngeal measurements
3678,computed tomography scan,ct scan
3678,computed tomography scan,ct scans
3201,computer,computer
3202,computer aided,computer aided
3202,computer aided,computer-aided
2017,computer aided design/computer aided manufacturing,computer-aided design/additive manufacture
2017,computer aided design/computer aided manufacturing,cad/cam
3214,computer aided diagnosis,computer-aided diagnosis
3203,computer analysis,computer analysis
3204,computer assisted,computer assisted
3204,computer assisted,computer-assisted
3205,computer assisted cognitive rehabilitation,computer assisted cognitive rehabilitation
3215,computer assisted decision making,computer-assisted decision making
3216,computer assisted image analysis,computer-assisted image analysis
3217,computer assisted image processing,computer-assisted image processing
3218,computer assisted quantitative airway assessment,computer-assisted quantitative airway assessment
3219,computer assisted quantitative video endoscopic analysis,computer-assisted quantitative video endoscopic analysis
3206,computer assisted signal processing,computer-assisted signal processing
3206,computer assisted signal processing,computer assisted signal processing
3220,computer assisted surgery,computer-assisted surgery
3221,computer assisted surgical simulation,computer-assisted surgical simulation
3222,computer based sleep analysis,computer-based sleep analysis
3207,computer controlled system,computer controlled system
3208,computer graphics,computer graphics
3209,computer modeling,computer modeling
3210,computer numerical control,computer numerical control
3211,computer program,computer program
3212,computer simulation,computer simulation
3213,computer software,computer software
3223,computerized analysis,computerized analysis
3224,computerized detection,computerized detection
3225,computerized diagnostic system,computerized diagnostic system
3226,computerized endopharyngeal myotonometry,computerized endopharyngeal myotonometry
3227,computerized scoring,computerized scoring
3228,computerized system,computerized system
