S,D,art_year,art_id
heart disease,hypoxemia,1991,101435
apnea,theophylline,1991,101496
cpap,sleep apnoea,1991,101312
in situ muscle,sleep apnea,1991,97550
pulse oximetry,screening,1991,101422
hypertension,sleep apnea,1991,101414
sleep apnea syndromes,snoring,1991,99622
continuous positive pressure,sleep apnoea,1991,101291
malocclusion,sleep apnea,1991,101424
respiratoryrelated activity,sleeprelated activity,1991,101265
oxygen desaturation,pulse oximetry,1991,101422
man,upper airway resistance,1991,101442
model,sleep state,1991,101510
chronic obstructive,pickwickian syndrome,1991,101452
sleep apnea syndrome,snoring,1991,101449
chronic obstructive,respiratory failure,1991,101452
hypopnea,sleep apnea,1991,100993
caffeine,theophylline,1991,101496
jaw,upper airway,1991,100984
sleep apnoea,thromboxane,1991,97546
intubation,pickwickian syndrome,1991,101452
genioglossus,sleep,1991,97543
infant respiration,sleep respiration,1991,101480
sleeprelated activity,upper airway muscle,1991,101265
hygroscopic condenser humidifier,nasal continuous airway pressure,1991,101418
cat,upper airway muscle,1991,101265
sleep,videorecording,1991,97558
nasal resistance,obstructive sleep apnoea,1991,101287
obesity,sleep apnoea,1991,101333
screening,sleep apnea,1991,101422
apnoea,otolaryngological,1991,101457
pharynx,sleep apnea,1991,101310
sleep,upper airway,1991,100984
hypertension,sleep apnoea,1991,97546
congestive heart failure,obesity,1991,101342
hypersomnia,ventilation,1991,101452
periodic movements of sleep,sleeprelated eating disorders,1991,101523
hypersomnia,respiratory failure,1991,101452
postoperative patientcontrolled analgesia,ventilation apnea,1991,101298
hypertension,isradipine,1991,97548
elderly,mortality,1991,125223
geniohyoid muscle,upper airway,1991,102017
risk factors,snoring,1991,99622
oxygen,sleep,1991,125227
obesity sleep apnea,pain,1991,101298
risk factors,sleep apnea syndromes,1991,99622
body mass index,eating disorders,1991,101523
fatigue,in situ muscle,1991,102017
craniofacial morphology,sleep apnea,1991,101317
intensive care unit,sleep apnea,1991,101452
genioglossus muscle,sleep apnea,1991,101442
heart disease,sleep,1991,101435
airway obstruction,tongue,1991,102043
caffeine,premature infants,1991,101496
cerebral infarction,snoring,1991,99622
electrocardiography,pulse oximetry,1991,101435
respiratory control,sleep state,1991,97555
metoprolol,snoring,1991,97548
snoring,sudden death,1991,101307
surgery,uvula,1991,101310
sleep apnoea,weight loss,1991,101333
body mass index,clonazepam,1991,101523
bromocriptine,sleeprelated eating disorders,1991,101523
airway mechanics,upper airways,1991,102030
hypertension,prostacyclin,1991,97546
body mass index,sleeprela,1991,101523
arterial pressure,therapy,1991,125227
hypersomnia,intensive care unit,1991,101452
atrial natriuretic peptide,obstructive sleep apnoea,1991,101296
eating disorders,sleeprela,1991,101523
hyoid bone,upper airway occlusion,1991,101514
adenotonsillectomy,sleep,1991,101457
sleep apnea,tonsillectomy,1991,101424
apnea,arrhythmia,1991,101435
infants,sudden infant death syndrome,1991,101477
arterial pressure,oxygen,1991,101461
obesity sleep apnea,ventilation apnea,1991,101298
episodic,nasal packing,1991,102042
obstructive sleep apnea,qt interval,1991,101460
caffeine,drug metabolism,1991,101496
jaw,upper airway,1991,97543
obstructive sleep apnea syndrome,submental electrical stimulation,1991,97547
intelligence,mental retardation,1991,101001
and pattern of breathing,nrem  and snoring,1991,101526
and pattern of breathing,in nrem sleep,1991,101526
anaesthesia general,pharynx,1991,125229
risk factors,snoring,1991,101512
fluctuation,oxygen,1991,101461
acromegaly,sleep,1991,101340
genioglossus,upper airway,1991,100984
intravenous opioid,postoperative patientcontrolled analgesia,1991,101298
coronary care units,hypoxemia,1991,101435
carbidopaldopa,periodic movements of sleep,1991,101523
continuous positive airway pressure,sleep,1991,101315
ambulatory blood pressure measurements,essential hypertension,1991,101471
blood pressure,sleep apnea,1991,101414
cephalometry,craniofacial morphology,1991,101317
apnoea syndrome,surgery,1991,101274
obstruction,surgery,1991,101457
geniohyoid muscle,respiratory muscle,1991,97550
hypertension,thromboxane,1991,97546
affective disorders,bromocriptine,1991,101523
geniohyoid muscle,respiratory muscle,1991,102017
model,stability,1991,101510
continuous positive airway pressure,obstructive sleep apnoea,1991,101296
pv properties,upper airways,1991,101525
larynx,upper airway occlusion,1991,97557
flow limitation,soft palate,1991,102030
apnoea,ventilation,1991,101457
aging,sleep,1991,100997
blood gas monitoring,transcentaneous,1991,102044
flow limitation,mechanics of breathing,1991,100975
blood pressure,hypertension,1991,101414
drug metabolism,theophylline,1991,97553
coronary artery disease,electrocardiography,1991,101435
critical care,sleep apnea,1991,101452
arginine vasopressin,atrial natriuretic peptide,1991,101296
fatigue,respiratory muscle,1991,102017
metoprolol,snoring,1991,101468
larynx,pharynx,1991,97557
pharyngeal pressure,pharynx,1991,101514
apnea of prematurity,videorecording,1991,101517
obstruction,ventilation,1991,101457
hyoid bone,pharynx,1991,101514
pharyngeal pressure,upper airway reflexes,1991,101514
hyoid bone,upper airway occlusion,1991,97557
nasal resistance,pharyngoscopy,1991,101287
cardiac output,sleep,1991,101435
sleep state,stability,1991,101510
prevalence,sleepdisordered breathing,1991,100993
clonazepam,eating disorders,1991,101523
drug metabolism,premature infants,1991,97553
intubation,mechanical,1991,101452
mortality,sleep apnea,1991,125223
blood pressure,hypertension,1991,101431
neonate,sleep,1991,101502
anesthesia,pharynx,1991,101310
respiration,sleep,1991,101254
complications,ventilation,1991,101291
mammal,pv properties,1991,101525
pharyngoscopy,snoring,1991,101287
fluctuation,therapy,1991,101461
hyoid bone,upper airway reflexes,1991,97557
respiratory failure,sleep apnea,1991,101452
obstructive sleep apnea syndrome,submental electrical stimulation,1991,101420
body mass index,hladrnegative narcolepsy,1991,101523
breath sounds,sleep apnea,1991,101422
apnea,drug metabolism,1991,101496
obstructive sleep apnoea,sleep nasendoscopy,1991,101283
closing pressures,hyoid bone,1991,101514
adenoids,blood gas monitoring,1991,102044
mechanical,obstructive,1991,101452
dog,sleep apnea,1991,97551
eating disorders,periodic movements of sleep,1991,101523
aging,sleepdisordered breathing,1991,100993
soft,uvula,1991,101310
aldosterone,plasma renin activity,1991,101453
man,sleep apnea,1991,101442
longtime followup oximetry scsb,obstructive sleep apnea syndrome,1991,101430
autonomic nervous system,corrected qt,1991,101460
episodic,hypoxia,1991,102042
oxygen,sleep,1991,101461
cats,upper airway,1991,97550
risk factors,sleep apnea syndromes,1991,101447
hypoxemia,morbidity,1991,101274
body mass index,narcolepsy,1991,101523
chemoreceptors,mechanoreceptors,1991,101511
sleep apnoea,snoring,1991,101307
atropine,sleep,1991,101489
pv properties,pv properties upper airways,1991,101525
sleeprela,sleeprelated eating disorders,1991,101523
congestive heart failure,pulmonary disease,1991,101342
respiratory muscle,sleep apnea,1991,97550
pharyngeal pressure,upper airway occlusion,1991,101514
mechanics of breathing,pharynx,1991,100975
airway obstruction,anaesthesia general,1991,125229
mtechnetium ventricular scintigraphy,obstructive sleep apnoea,1991,101314
diaphragmatic movement,sleep apnea,1991,102029
sleep apnea,surgery,1991,101310
arousal,stability,1991,97555
sids,sleep apnea,1991,101480
laryngomalacia,obstructive sleep apnea,1991,101427
obstructive sleep apnea syndrome,videoradiography,1991,97547
flow limitation,pharynx,1991,100975
metoprolol,sleep apnea,1991,97548
respiratory disorders,sex differences sleep,1991,101331
coronary artery disease,hypoxemia,1991,101435
axial brain herniation,magnetic resonance imaging,1991,101336
electrocardiography,hypoxemia,1991,101435
sleep state,ventilatory oscillations,1991,97555
hladrnegative narcolepsy,periodic movements of sleep,1991,101523
arousal,respiratory control,1991,97555
obstructive sleep apnea,sleeprelated activity,1991,101265
corrected qt,obstructive sleep apnea,1991,101460
fatigue,geniohyoid muscle,1991,102017
during snoring,pattern of breathing,1991,101526
respiratory mechanics,upper airway,1991,102029
heart rate variability,sleep apnea syndrome,1991,101471
plms,prevalence,1991,100997
growth hormone,sleep apnea,1991,101340
in situ muscle,upper airway,1991,97550
heart rate,ventricular arrhythmias,1991,101460
blood pressure,hemodynamics,1991,101414
soft palate,upper airways,1991,102030
risk factors,snoring,1991,101447
sleep apnoea,thromboxane,1991,101313
chiari malformation,sleep apnea,1991,101288
plasma renin activity,sleep apnea,1991,101453
continuous positive airway pressure,eventrelated potentials,1991,101419
intubation,pulmonary disease,1991,101452
excessive daytime sleepiness,oxymetric screening,1991,101455
model,ventilatory oscillations,1991,101510
mechanical,pulmonary disease,1991,101452
sleep state,stability,1991,97555
associated psychopathology,sleep apnea,1991,101476
upper airway compliance,upper airway reflexes,1991,101514
affective disorders,body mass index,1991,101523
geniohyoid muscle,sleep apnea,1991,102017
respiratory muscle,upper airway,1991,102017
aging,sleep apnea,1991,100993
genioglossus,pharyngeal area,1992,97541
pneumonia,surgery,1992,99609
pharynx,ultrafast imaging,1992,100818
anoxia,pressoreceptors,1992,100899
familial dysautonomia,sleep apnea,1992,100914
fiber types,obstructive sleep apnea,1992,100913
atelectasis,pulmonary complications,1992,99609
lower airway compromise,upper airway compromise,1992,100783
glossopharyngeal neuralgia,haemangioblastoma,1992,100714
anoxia,high,1992,100671
abnormalities,image processing,1992,100818
baroreceptors,hypertension,1992,97531
pharynx,sleep,1992,100772
pulse oxyometry,sensitivity,1992,100923
oxygen desaturation,oxygen saturation,1992,100877
bradycardia,hypertension,1992,100690
nasopharynx,sleep apnea,1992,100818
eye movements,rapideyemovement sleep,1992,100959
blood pressure,heart rate,1992,97528
bariatric surgery,uvulopalatopharyngoplasty,1992,99614
cartilage sleeve abnormalities of the trachea,lower airway compromise,1992,100783
neuronale netzwerke,schlafklassifikation,1992,100910
pulse sequences,ultrafast imaging,1992,100818
heart rate,total peripheral resistance,1992,97527
cine study,ultrafast imaging,1992,100818
cot death,polysomnography,1992,100873
orthodontic appliance,weight loss,1992,100655
autopsy,polysomnography,1992,100862
hunter syndrome,polysomnography,1992,100862
hypertension,hypoxemia,1992,97531
arterial oxygen saturation,sleep apnoea,1992,125398
nasal packing,oxygen saturation,1992,100778
nonsteroidal,uvulopalatopharyngoplasty,1992,100771
neurai networks,schlafklassifikation,1992,100910
rapid eye movement sleep,sleep hypoventilation,1992,100817
sleep apnoea,snoring,1992,100739
bivariate linear regression equation,nasopharynx,1992,100895
pulmonary complications,pulmonary embolism,1992,100839
control of ventilation,phasic events,1992,97540
anoxia,sleep apnea syndromes,1992,97531
obstructive sleep apnea,polysomnogram,1992,100830
acetazolamide,hydrocephalus,1992,100876
acquired laryngomalacia,airway obstruction,1992,100940
parasympathetic nervous system,sleep rapid eye movement,1992,100665
obstructive apnea,upper airway,1992,100948
bariatric surgery,hypoventilation,1992,100919
paco,respiration,1992,100877
sleep apnea,surgery,1992,99609
fragile x,xlinked mental retardation,1992,100689
driving,prevalence,1992,100821
blood pressure,sympathetic nervous system,1992,100887
sleep apnea,upper airway,1992,100698
control of ventilation,eye movements,1992,97540
morbid obesity,pulmonary complications,1992,99609
sleep,snoring,1992,100772
anoxia,hypertension,1992,100899
apnea,obesity,1992,100919
control of breathing,sleep,1992,100865
acetazolamide,apnea,1992,100876
obstructive sleep apnea syndrome,right ventricular hypertrophy,1992,100795
blood pressure,continuous positive airway pressure,1992,100776
chronic lung disease,eeg sleep studies,1992,100949
blood pressure,sleep apnea,1992,100880
pharynx,pulse sequences,1992,100818
obesity,snoring,1992,100919
heart rate changes,obstructive sleep apnoea,1992,100759
sleep scoring,stage ,1992,100830
sleep apnea,sleepdisordered respiration,1992,100875
acetazolamide,infants,1992,100876
glomus caroticum,high blood pressure,1992,100899
respiratory control,upper airways,1992,100933
apneas,obstructive apneas,1992,100957
respiratory control,upper airways,1992,97536
nrem,polysomnography,1992,100919
snoring,weight loss,1992,99614
bivariate linear regression equation,homo sapiens,1992,125219
cpap,upper airway,1992,100772
pickwickian syndrome,sleep apnea syndrome,1992,100784
control of ventilation,spectral analysis,1992,100875
apnea,sleep apnea syndromes,1992,100671
continuous positive airway,polycythaemia,1992,100774
continuous positive airway pressure,nrem,1992,100919
bariatric surgery,sleep,1992,99614
brain,pons medial pontine reticular formation,1992,100665
anoxemia,anoxia,1992,100671
respiratory variation,static chargesensitive bed,1992,100960
sleep apnea syndrome,uvulopalatopharyngoplasty,1992,100652
data collection,polysomnography,1992,100695
apnea,polysomnography,1992,100919
hypoventilation,weight loss,1992,99614
epworth,reliability,1992,100911
control of ventilation,sleep apnea,1992,100875
genioglossal motoneuron,respiration,1992,100698
decerebrate cat,hypoglossal motoneuron,1992,100698
continuous positive airway pressure treatment,multiple sleep latency test,1992,100838
hypoventilation,sleep,1992,100919
obstructive apnea,prosthetic mandibular advancement,1992,100797
anoxia,glomus caroticum,1992,100899
opioid morphine,sleep rapid eye movement,1992,100665
nrem,obesity,1992,99614
obesity,snoring,1992,99614
data acquisition,polysomnography,1992,100695
carotid body,sleep apnea syndromes,1992,97531
snoring,upper airway,1992,100772
apnea,timeofnight,1992,100905
obstructive sleep apnea,upper airway mechanoreceptors,1992,100934
alte,polygraphy,1992,100943
obstructive apnea,sleep changes,1992,100797
hypoventilation,hypoxia,1992,97542
pharyngeal area,upper airway,1992,100961
mandible,nasopharynx,1992,125219
fluoxetine,rapid eye movement sleep,1992,100817
narcolepsy,periodic leg movements in sleep,1992,100905
homo sapiens,least squares criterion,1992,100895
abnormalities,nasopharynx,1992,100818
pneumonia,pulmonary complications,1992,99609
benzodiazepine,hypnotics,1992,100938
contractile proteins,upper airway,1992,97533
morbid obesity,pickwickian syndrome,1992,100784
anoxia,sleep apnea syndromes,1992,100696
pharyngeal area,pharyngeal shape,1992,100961
apnea,essential,1992,100671
period breathing,sleep apnea,1992,100912
oxygen saturation,paco,1992,100877
maxillomandibular advancement,uvulopalatopharyngoplasty,1992,100652
lung volume,oxygen stores,1992,100841
least squares criterion,nasopharynx,1992,100895
apnea,hypopnea,1992,100902
actigraph,sleep,1992,100922
genioglossal motoneuron,sleep apnea,1992,100698
hypertension,sympathetic nerve activity,1992,100690
apnea of infancy,sleep apnea,1992,100873
serotonin,upper airway,1992,100698
morbid obesity,obesity hypoventilation syndrome,1992,100839
respiration,upper airway,1992,100698
chronic obstructive pulmonary disease,mild daytime hypoxaemia,1992,100956
oxygen desaturation,pao,1992,100877
objective improvement,uppp,1992,100793
afterdischarge mechanism,hypoxia,1992,97542
erythropoietin,polycythaemia,1992,100737
cardiac output,total peripheral resistance,1992,97527
obstructive sleep apnea,upper airway compromise,1992,100783
pulmonary complications,surgery,1992,100839
diclofenac,uvulopalatopharyngoplasty,1992,100771
familial dysautonomia,sleep apnea,1992,97534
palatopharyngoglossoplasty,uppp,1992,100793
analgesics,surgery,1992,100771
respiratory rhythm,ventricular arrhythmia,1992,100759
cartilage sleeve abnormalities of the trachea,cor pulmonale,1992,100783
chemoreflex,parasympathetic nervous system,1992,97528
anoxia,hypertension,1992,100671
compartmental ventilation,phasic events,1992,100959
abnormalities,pulse sequences,1992,100818
microinjection,respiration,1992,100698
correlation,mandible,1992,100895
decerebrate cat,sleep apnea,1992,100698
neck size,obesity,1992,100740
heart rate,sleep apnea syndrome,1992,97528
schlafklassifikation,sleep classification,1992,97532
pharyngeal obstruction,tumour,1992,100849
heart rate,stroke volume,1992,97527
hypopneas,nonrapideyemovement sleep,1992,97540
compartmental ventilation,hypopneas,1992,97540
fiber types,obstructive sleep apnea,1992,97533
central apnea,hypoventilation,1992,97542
sleep apnea,ultrafast imaging,1992,100818
hypopneas,phasic events,1992,100959
contractile proteins,obstructive sleep apnea,1992,97533
heart rate,sleep apnea syndrome,1992,100887
pain,surgery,1992,100771
autonomic nervous system,obstructive sleep apnea syndrome,1992,100847
reliability,sleepiness,1992,100911
neuronale netzwerke,sleep classification,1992,97532
apnea,sleep apnea syndromes,1992,100696
continuous positive airway,pressure,1992,100774
opioid morphine,pons medial pontine reticular formation,1992,100665
brain,parasympathetic nervous system,1992,100665
control of ventilation,sleepdisordered respiration,1992,100875
oxygen saturation,respiration,1992,100877
afterdischarge mechanism,periodic breathing,1992,100965
agonists carbachol,parasympathetic nervous system,1992,100665
compartmental ventilation,control of ventilation,1992,100959
sleep apnea syndrome,vertical banded gastroplasty,1992,99607
pickwickian syndrome,vertical banded gastroplasty,1992,100784
diclofenac,surgery,1992,100771
sleepdisordered respiration,spectral analysis,1992,100875
abnormalities,cine study,1992,100818
hypopneas,nonrapideyemovement sleep,1992,100959
acetazolamide,control of breathing,1992,100876
obstructive sleep apnea,tsleep method,1992,100830
movements,sids,1992,100957
adenoidectomy,sleep apnoea syndrome,1992,100777
pulmonary complications,sleep apnea,1992,100839
chemoreflex,sympathetic nervous system,1992,97528
polysomnography,sleep,1992,99614
movements,sleep,1992,100957
analgesics,diclofenac,1992,100771
baroreceptors,pressoreceptors,1992,100899
arterial oxygen saturation,rapid eye movement sleep,1992,125398
apneas,sids,1992,100957
afterdischarge mechanism,central apnea,1992,100965
causes of pulmonary hypertension in copd,sleep related hypoxaemia,1992,100956
respiratory variation,snoring,1992,100960
nrem,uvulopalatopharyngoplasty,1992,99614
cpap,sleep apnea,1992,100849
least squares criterion,mandible,1992,125219
blood pressure,heart rate,1992,100887
hypoxemia,saturation impairment time,1992,125218
hypoxemia,sleepdisordered breathing,1992,97530
hypoventilation,polysomnography,1992,100919
central apnea,obstructive apnea,1992,100797
cholinergic agonists,gaba,1992,100964
pressoreceptors,sleep apnea syndromes,1992,100899
atelectasis,pulmonary embolism,1992,100839
blood pressure,obesity,1992,100880
control of breathing,familial dysautonomia,1992,97534
sleep fragmentation,uvulopalatopharyngoplasty,1992,100649
carotid body,high blood pressure,1992,100899
nasopharynx,pharynx,1992,100818
morbid obesity,sleep apnea syndrome,1992,99607
stroke volume,total peripheral resistance,1992,100882
atelectasis,pneumonia,1992,99609
nasopharynx,ultrafast imaging,1992,100818
polysomnography,sudden infant death syndrome,1992,100924
cine study,sleep apnea,1992,100818
data acquisition,data collection,1992,100695
nonrapideyemovement sleep,respiratory timing,1992,100959
sleep apnea,uppgp,1992,100793
modified modulation index,spectral analytic methods,1992,100928
polysomnogram,sleep scoring,1992,100830
anoxia,sympathetic nervous system,1992,100671
microneurography,muscle sympathetic nerve activity,1992,100762
hypoxemia,sleep apnea,1992,125218
hypopneas,sleep apnea,1992,100745
chronic low back pain,sleep,1992,125221
sleep apnoea,solvent encephalopathy,1992,100704
diclofenac,pain,1992,100771
anoxia,baroreceptors,1992,97531
obstructive sleep apnea,sleep scoring,1992,100830
central apnea,prosthetic mandibular advancement,1992,100797
baroreceptors,hypoxemia,1992,97531
nasopharyngeal tube,sleep position training,1992,100655
contractile proteins,upper airway,1992,100913
abnormalities,nasopharynx,1992,100818
hypoxemia,pressoreceptors,1992,100899
nasopharynx,pharynx,1992,100818
obesity,rem,1992,99614
alte,apnea of prematurity,1992,100943
anoxia,sleep apnea syndromes,1992,100899
respiration,sleep apnea syndrome,1992,100877
genioglossus,pharyngeal shape,1992,100961
apnoea,sleep,1992,100717
hypertension,hypoxemia,1992,100899
haematocrit,polycythaemia,1992,100774
sleep apnea,sudden infant death syndrome,1992,125216
genioglossus,pharyngeal shape,1992,97541
electron microscopy,hunter syndrome,1992,100862
causes of pulmonary hypertension in copd,chronic obstructive pulmonary disease,1992,100956
uppgp,uppp,1992,100793
genioglossal motoneuron,hypoglossal motoneuron,1992,100698
hypopneas,phasic events,1992,97540
abnormalities,image processing,1992,100818
bariatric surgery,weight loss,1992,99614
acrocephalosyndactyly,obstructive sleep apnea,1992,100783
sleep,uvulopalatopharyngoplasty,1992,99614
chronic obstuctive pulmonary disease,data collection,1992,100695
hypoxemia,sleep apnea syndromes,1992,100899
glomus caroticum,hypertension,1992,97531
contractile proteins,obstructive sleep apnea,1992,100913
oxygen desaturation,respiration,1992,100877
chronic obstuctive pulmonary disease,polysomnography,1992,100695
apneas,movements,1992,100957
lateral posture,polysomnography,1992,100745
polysomnography,sleep apnea,1992,100745
obesity,sleep,1992,100919
sleep position training,snoring,1992,100655
phasic events,rapideyemovement sleep,1992,97540
blood pressure,sleep apnea,1992,100762
arterial oxygen saturation,sleep hypoventilation,1992,125398
hypopneas,respiratory timing,1992,97540
cardiac output,sleep states,1992,97527
anoxia,apnea,1992,100696
baroreceptors,carotid body,1992,97531
brain,sleep rapid eye movement,1992,100665
carotid body,hypoxemia,1992,100899
hypoxemia,sleep,1992,125218
compartmental ventilation,eye movements,1992,100959
infants,period breathing,1992,100912
maxillomandibular advancement,sleep apnea syndrome,1992,100652
apnea,prevalence,1992,100821
nasopharynx,pharynx,1992,100818
apnea,sympathetic nervous system,1992,100671
nasopharyngeal tube,weight loss,1992,100655
heart rate,sympathetic nervous system,1992,97528
homo sapiens,mandible,1992,125219
correlation,mandible,1992,125219
cholinergic agonists,phrenic nerve,1992,100964
polysomnography,upper airway resistance during sleep,1992,100873
obesity,polysomnography,1992,100919
gaba,ventral surface of medulla,1992,100964
cephalometry,obstructive sleep apnea syndrome,1992,100794
apnea,hypersomnia,1992,100821
analgesics,pain,1992,100771
control of breathing,sleep apnea syndrome,1992,97538
apnea,bariatric surgery,1992,99614
decerebrate cat,microinjection,1992,100698
congestive heart failure,periodic leg movements,1992,100916
arterial oxygen saturation,sleep apnoea,1992,100817
electromyography,pharyngeal shape,1992,97541
infant,sudden infant death syndrome,1992,100717
acetazolamide,myelomeningocele,1992,100876
apnoea,infant,1992,100717
atrial natriuretic peptide,nocturnal natriuretic diuresis,1992,100845
genioglossal motoneuron,microinjection,1992,100698
anoxia,glomus caroticum,1992,97531
polysomnography,saturation impairment time,1992,125218
correlation,least squares criterion,1992,100895
anoxemia,anoxia,1992,100696
blood pressure,total peripheral resistance,1992,100882
continuous positive airway pressure,snoring,1992,99614
sleep apnea,tumour,1992,100849
continuous positive airway pressure,polysomnography,1992,99614
elderly,muscle sympathetic nerve activity,1992,100762
sleep states,total peripheral resistance,1992,97527
congenital central hypoventilation syndrome,sleep apnea,1992,100914
glomus caroticum,pressoreceptors,1992,97531
abnormalities,ultrafast imaging,1992,100818
haematocrit,obstructive sleep apnoea,1992,100774
hypnotics,supraglottic resistance,1992,100938
apnea,snoring,1992,99614
apnea,rem,1992,100919
familial dysautonomia,periodic breathing,1992,100914
hypoventilation,hypoxia,1992,100965
chemoreflex,sleep apnea syndrome,1992,97528
control of breathing,sleep apnea syndrome,1992,100936
continuous positive airway pressure,snoring,1992,100659
hypoglossal nerve,ventral surface of medulla,1992,100964
chemoreflex,heart rate,1992,97528
hypersomnia,keywords epidemiology,1992,100739
hypoventilation,rem,1992,99614
hypopnea,sleepdisordered breathing,1992,99612
continuous positive airway pressure,obstructive sleep apnea,1992,100659
sleep apena,vigilance,1992,100763
pharynx,snoring,1992,100772
phrenic nerve,ventral surface of medulla,1992,100964
cardiopulmonary function,cephalometry,1992,100794
afterdischarge mechanism,hypoxia,1992,100965
hypoxia,oxygen consumption,1992,100842
causes of pulmonary hypertension in copd,mild daytime hypoxaemia,1992,100956
acid reflux,sudden infant death syndrome,1992,100717
congenital central hypoventilation syndrome,periodic breathing,1992,100914
microinjection,serotonin,1992,100698
hypoventilation,periodic breathing,1992,100965
anoxia,essential hypertension,1992,100696
periodic breathing,sleep apnea,1992,97534
central apnea,periodic breathing,1992,97542
anoxia,carotid body,1992,97531
hypoxemia,oxygenation,1992,125218
sleep,upper airway reflexes,1992,97525
prevalence,snoring,1992,100821
bivariate linear regression equation,nasopharynx,1992,125219
heart rate,sleep states,1992,97527
apnea of prematurity,sleep states,1992,100943
acrocephalosyndactyly,apert syndrome,1992,100783
bariatric surgery,rem,1992,99614
obesity hypoventilation syndrome,pulmonary complications,1992,99609
anoxia,blood pressure,1992,100671
bariatric surgery,snoring,1992,99614
continuous positive airway pressure,sleep,1992,100919
stage ,tsleep method,1992,100830
anoxia,blood pressure,1992,100696
nonrapideyemovement sleep,phasic events,1992,100959
hypopneas,lateral posture,1992,100745
children,obstructive sleep apnea syndrome,1992,100795
adenotonsillar volume,obstructive sleep apnea syndrome,1992,100795
sleep apnea syndrome,tongue retaining device,1992,100655
cat,ventral surface of medulla,1992,100964
blood pressure,stroke volume,1992,100882
nrem,weight loss,1992,100919
obesity hypoventilation syndrome,sleep apnea syndrome,1992,100784
high blood pressure,hypertension,1992,97531
cushing disease,sleep apnea,1992,100843
lateral posture,sleep apnea,1992,100745
analgesics,postoperative,1992,100771
questionnaire,reliability,1992,100911
blood pressure,sleep apnea syndromes,1992,100696
hunter syndrome,sleep apnea,1992,100862
image processing,nasopharynx,1992,100818
control of ventilation,rapideyemovement sleep,1992,97540
cot death,muscle disorders in childhood,1992,100873
neuronale netzwerke,schlafklassifikation,1992,97532
control of ventilation,respiratory timing,1992,97540
hypoxemia,pressoreceptors,1992,97531
agonists carbachol,opioid morphine,1992,100665
erythropoietin,hypoxaemia,1992,100737
hypoventilation,uvulopalatopharyngoplasty,1992,99614
sleep apnoea,sympathetic nerve activity,1992,100690
compartmental ventilation,hypopneas,1992,100959
airways,supraglottic resistance,1992,100938
apnea,hydrocephalus,1992,100876
control of breathing,sleep apnea,1992,97534
congestive heart failure,heart transplant,1992,100916
acquired laryngomalacia,epiglottis prolapse,1992,100940
bivariate linear regression equation,least squares criterion,1992,125219
actigraph,rheumatoid arthritis,1992,100922
apparentlifethreateningevent,polysomnography,1992,100924
arterial oxygen saturation,fluoxetine,1992,100817
uvulopalatopharyngoplasty,weight loss,1992,100919
continuous positive airway pressure,uvulopalatopharyngoplasty,1992,100919
bariatric surgery,weight loss,1992,100919
apnea,snoring,1992,100821
analgesics,brain,1992,100665
eye movements,nonrapideyemovement sleep,1992,100959
polysomnography,weight loss,1992,99614
cpap,reaction time,1992,100763
cardiac output,stroke volume,1992,100882
blood pressure,heart rate,1992,97527
compartmental ventilation,eye movements,1992,97540
mandible,nasopharynx,1992,100895
congenital central hypoventilation syndrome,control of breathing,1992,97534
agonists carbachol,sleep rapid eye movement,1992,100665
control of breathing,upper airway patency,1992,100936
right ventricular hypertrophy,static charge sensitive bed,1992,100795
rapideyemovement sleep,respiratory timing,1992,100959
uvulopalatopharyngoplasty,weight loss,1992,99614
continuous positive airway pressure,hypoventilation,1992,100919
acid reflux,infant,1992,100717
modified modulation index,periodicity index,1992,100928
epworth,sleepiness,1992,100911
breathing patterns,spectral analytic methods,1992,100928
obstructive sleep apnea,upper airway mechanoreceptors,1992,97537
hypoventilation,weight loss,1992,100919
apnea,infants,1992,100876
sleep states,stroke volume,1992,100882
blood pressure,essential,1992,100671
baroreceptors,pressoreceptors,1992,97531
abnormalities,cine study,1992,100818
elderly,hypopnea,1992,99612
acrocephalosyndactyly,cor pulmonale,1992,100783
sleep apnea,sleep architecture,1992,100843
voice characteristics,voice timbre,1992,100679
cat,cholinergic agonists,1992,100964
pneumonia,pulmonary embolism,1992,100839
nonrapideyemovement sleep,respiratory timing,1992,97540
anoxia,neuropsychology,1992,100648
essential,hypertension,1992,100671
electromyography,upper airway,1992,97541
agonists carbachol,pons medial pontine reticular formation,1992,100665
continuous positive airway,red blood cell count,1992,100774
control of breathing,dog,1992,97538
bradycardia,hypoxia,1992,100690
control of ventilation,respiratory timing,1992,100959
atelectasis,pneumonia,1992,100839
alte,sids,1992,100943
bariatric surgery,rem,1992,100919
adenotonsillar volume,children,1992,100795
sleep,tetraplegia,1992,100842
eye movements,nonrapideyemovement sleep,1992,97540
polysomnogram,stage ,1992,100830
apnea,sleep,1992,100919
polysomnography,sleep apnea,1992,125218
compliance to treatment,continuous positive airway pressure,1992,100659
nonsteroidal,pain,1992,100771
apnea length,desaturation curve,1992,100841
apnea,hypoventilation,1992,100919
cardiac output,stroke volume,1992,97527
cine study,pharynx,1992,100818
polysomnography,uvulopalatopharyngoplasty,1992,100649
sleep apnea,sleepiness,1992,100648
oxygenation,sleep,1992,125218
hypertension,sleep apnea syndromes,1992,97531
hypertrophy of the palatine tonsil,sudden infant death syndrome,1992,125216
rem,snoring,1992,100919
